timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528346028775,1851,91 /themes/SuiteR/js/jscolor.js,200,OK,Thread Group 1-1,text,true,,29175,426,10,10,905,0,136
1528346030627,398,90 /themes/SuiteR/css/colourSelector.php,200,OK,Thread Group 1-1,text,true,,213,490,10,10,398,0,0
1528346031026,682,92 /modules/Users/login.css,200,OK,Thread Group 1-1,text,true,,3433,437,10,10,682,0,143
1528346031712,607,93 /modules/Users/login.js,200,OK,Thread Group 1-1,text,true,,4925,421,10,10,606,0,0
1528346021166,11433,87 /cache/themes/SuiteR/css/yui.css,200,OK,Thread Group 1-2,text,true,,241468,445,10,10,772,0,0
1528346023457,9247,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-3,text,true,,190696,437,10,10,909,0,138
1528346032606,1902,91 /themes/SuiteR/js/jscolor.js,200,OK,Thread Group 1-2,text,true,,29175,426,10,10,954,0,184
1528346034509,398,90 /themes/SuiteR/css/colourSelector.php,200,OK,Thread Group 1-2,text,true,,213,490,10,10,398,0,0
1528346034908,681,92 /modules/Users/login.css,200,OK,Thread Group 1-2,text,true,,3433,437,10,10,681,0,142
1528346035590,606,93 /modules/Users/login.js,200,OK,Thread Group 1-2,text,true,,4925,421,10,10,606,0,0
1528346011427,30888,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-7,text,true,,662949,444,10,10,930,0,159
1528346042335,983,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-7,text,true,,9359,497,10,10,943,0,172
1528346043320,1755,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-7,text,true,,30007,430,10,10,770,0,0
1528346045076,556,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-7,text,true,,605,509,10,10,556,0,157
1528346045633,870,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-7,text,true,,10602,452,10,10,771,0,0
1528346016462,30904,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-8,text,true,,662949,444,10,10,950,0,180
1528346047380,952,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-8,text,true,,9359,497,10,10,912,0,139
1528346048333,1753,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-8,text,true,,30007,430,10,10,769,0,0
1528346050087,538,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-8,text,true,,605,509,10,10,538,0,141
1528346050625,866,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-8,text,true,,10602,452,10,10,770,0,0
1528346021357,30862,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-9,text,true,,662949,444,10,10,914,0,142
1528346052231,956,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-9,text,true,,9359,497,10,10,916,0,143
1528346053188,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-9,text,true,,30007,430,10,10,768,0,0
1528346024082,30860,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-4,text,true,,662949,444,10,10,909,0,138
