timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
###############################################################################################################################################################################################################################################################,9285,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-9,text,TRUE,,190696,437,10,10,946,0,175
###############################################################################################################################################################################################################################################################,6002,79 /themes/SuiteR/css/bootstrap.min.css,200,OK,Thread Group 1-3,text,TRUE,,122763,489,10,10,772,0,0
###############################################################################################################################################################################################################################################################,9271,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-4,text,TRUE,,190696,437,10,10,932,0,161
###############################################################################################################################################################################################################################################################,9302,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-5,text,TRUE,,190696,437,10,10,967,0,198
###############################################################################################################################################################################################################################################################,9293,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-10,text,TRUE,,190696,437,10,10,955,0,185
###############################################################################################################################################################################################################################################################,9280,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-6,text,TRUE,,190696,437,10,10,940,0,169
###############################################################################################################################################################################################################################################################,11433,87 /cache/themes/SuiteR/css/yui.css,200,OK,Thread Group 1-1,text,TRUE,,241468,445,10,10,770,0,0
###############################################################################################################################################################################################################################################################,1851,91 /themes/SuiteR/js/jscolor.js,200,OK,Thread Group 1-1,text,TRUE,,29175,426,10,10,905,0,136
###############################################################################################################################################################################################################################################################,398,90 /themes/SuiteR/css/colourSelector.php,200,OK,Thread Group 1-1,text,TRUE,,213,490,10,10,398,0,0
###############################################################################################################################################################################################################################################################,682,92 /modules/Users/login.css,200,OK,Thread Group 1-1,text,TRUE,,3433,437,10,10,682,0,143
###############################################################################################################################################################################################################################################################,607,93 /modules/Users/login.js,200,OK,Thread Group 1-1,text,TRUE,,4925,421,10,10,606,0,0
###############################################################################################################################################################################################################################################################,11433,87 /cache/themes/SuiteR/css/yui.css,200,OK,Thread Group 1-2,text,TRUE,,241468,445,10,10,772,0,0
###############################################################################################################################################################################################################################################################,9247,83 /cache/include/javascript/sugar_grp1.js,200,OK,Thread Group 1-3,text,TRUE,,190696,437,10,10,909,0,138
###############################################################################################################################################################################################################################################################,1902,91 /themes/SuiteR/js/jscolor.js,200,OK,Thread Group 1-2,text,TRUE,,29175,426,10,10,954,0,184
###############################################################################################################################################################################################################################################################,398,90 /themes/SuiteR/css/colourSelector.php,200,OK,Thread Group 1-2,text,TRUE,,213,490,10,10,398,0,0
###############################################################################################################################################################################################################################################################,681,92 /modules/Users/login.css,200,OK,Thread Group 1-2,text,TRUE,,3433,437,10,10,681,0,142
###############################################################################################################################################################################################################################################################,606,93 /modules/Users/login.js,200,OK,Thread Group 1-2,text,TRUE,,4925,421,10,10,606,0,0
###############################################################################################################################################################################################################################################################,30888,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-7,text,TRUE,,662949,444,10,10,930,0,159
###############################################################################################################################################################################################################################################################,983,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-7,text,TRUE,,9359,497,10,10,943,0,172
###############################################################################################################################################################################################################################################################,1755,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-7,text,TRUE,,30007,430,10,10,770,0,0
###############################################################################################################################################################################################################################################################,556,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-7,text,TRUE,,605,509,10,10,556,0,157
###############################################################################################################################################################################################################################################################,870,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-7,text,TRUE,,10602,452,10,10,771,0,0
###############################################################################################################################################################################################################################################################,30904,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-8,text,TRUE,,662949,444,10,10,950,0,180
###############################################################################################################################################################################################################################################################,952,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-8,text,TRUE,,9359,497,10,10,912,0,139
###############################################################################################################################################################################################################################################################,1753,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-8,text,TRUE,,30007,430,10,10,769,0,0
###############################################################################################################################################################################################################################################################,538,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-8,text,TRUE,,605,509,10,10,538,0,141
###############################################################################################################################################################################################################################################################,866,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-8,text,TRUE,,10602,452,10,10,770,0,0
###############################################################################################################################################################################################################################################################,30862,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-9,text,TRUE,,662949,444,10,10,914,0,142
###############################################################################################################################################################################################################################################################,956,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-9,text,TRUE,,9359,497,10,10,916,0,143
###############################################################################################################################################################################################################################################################,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-9,text,TRUE,,30007,430,10,10,768,0,0
###############################################################################################################################################################################################################################################################,30860,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-4,text,TRUE,,662949,444,10,10,909,0,138
###############################################################################################################################################################################################################################################################,536,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-9,text,TRUE,,605,509,10,10,536,0,137
###############################################################################################################################################################################################################################################################,949,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-4,text,TRUE,,9359,497,10,10,909,0,137
###############################################################################################################################################################################################################################################################,30883,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-5,text,TRUE,,662949,444,10,10,927,0,156
###############################################################################################################################################################################################################################################################,867,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-9,text,TRUE,,10602,452,10,10,770,0,0
###############################################################################################################################################################################################################################################################,955,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-5,text,TRUE,,9359,497,10,10,915,0,143
###############################################################################################################################################################################################################################################################,30882,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-10,text,TRUE,,662949,444,10,10,931,0,160
###############################################################################################################################################################################################################################################################,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-4,text,TRUE,,30007,430,10,10,770,0,0
###############################################################################################################################################################################################################################################################,11435,87 /cache/themes/SuiteR/css/yui.css,200,OK,Thread Group 1-7,text,TRUE,,241468,445,10,10,770,0,0
###############################################################################################################################################################################################################################################################,30901,81 /cache/include/javascript/sugar_grp1_jquery.js,200,OK,Thread Group 1-6,text,TRUE,,662949,444,10,10,949,0,176
###############################################################################################################################################################################################################################################################,548,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-4,text,TRUE,,605,509,10,10,548,0,150
###############################################################################################################################################################################################################################################################,965,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-10,text,TRUE,,9359,497,10,10,925,0,154
###############################################################################################################################################################################################################################################################,26032,82 /cache/include/javascript/sugar_grp1_yui.js,200,OK,Thread Group 1-1,text,TRUE,,560449,441,10,10,772,0,0
###############################################################################################################################################################################################################################################################,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-5,text,TRUE,,30007,430,10,10,769,0,0
###############################################################################################################################################################################################################################################################,867,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-4,text,TRUE,,10602,452,10,10,770,0,0
###############################################################################################################################################################################################################################################################,957,86 /include/javascript/qtip/jquery.qtip.min.css,200,OK,Thread Group 1-6,text,TRUE,,9359,497,10,10,917,0,145
###############################################################################################################################################################################################################################################################,538,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-5,text,TRUE,,605,509,10,10,538,0,139
###############################################################################################################################################################################################################################################################,1859,91 /themes/SuiteR/js/jscolor.js,200,OK,Thread Group 1-7,text,TRUE,,29175,426,10,10,911,0,142
###############################################################################################################################################################################################################################################################,1754,85 /cache/themes/SuiteR/js/style.js,200,OK,Thread Group 1-10,text,TRUE,,30007,430,10,10,769,0,0
###############################################################################################################################################################################################################################################################,399,90 /themes/SuiteR/css/colourSelector.php,200,OK,Thread Group 1-7,text,TRUE,,213,490,10,10,399,0,0
###############################################################################################################################################################################################################################################################,868,89 /cache/themes/SuiteR/css/deprecated.css,200,OK,Thread Group 1-5,text,TRUE,,10602,452,10,10,771,0,0
###############################################################################################################################################################################################################################################################,582,88 /include/javascript/jquery/themes/base/jquery.ui.all.css,200,OK,Thread Group 1-10,text,TRUE,,605,509,10,10,582,0,184
###############################################################################################################################################################################################################################################################,704,92 /modules/Users/login.css,200,OK,Thread Group 1-7,text,TRUE,,3433,437,10,10,704,0,165
